id;nome;rend_med_sm;populacao
347;Marmiteiros;0,73;785
105;Milionários;1,17;12155
106;Minas Brasil;2,77;3509
107;Minascaixa;0,98;10585
108;Minaslândia;1,06;6450
244;Mineirão;0,75;4235
229;Miramar;1,17;6119
348;Mirante;0,44;559
109;Monsenhor Messias;2,13;4450
81;Monte Azul;0,68;3494
255;Nazaré;0,77;8172
354;Nossa Senhora da Conceição;0,69;6217
355;Nossa Senhora de Fátima;0,54;9352
356;Nossa Senhora do Rosário;0,66;173
199;Nova Cachoeirinha;1,6;4735
110;Nova Cintra;0,99;5664
111;Nova Esperança;1,19;4421
112;Nova Floresta;2,53;4496
113;Nova Gameleira;1,6;9457
114;Nova Granada;2,33;5979
115;Nova Pampulha;1,54;350
117;Nova Vista;1,35;8408
247;Novo Aarão Reis;0,53;8286
475;Novo Glória;1,1;7847
359;Novo Santa Cecília;0,92;2355
360;Novo Tupi;0,62;3048
361;Oeste;1,22;3771
342;Maria Tereza;0,68;373
206;Olaria;0,77;5776
253;Ouro Minas;0,89;4141
120;Ouro Preto;2,55;16746
121;Padre Eustáquio;2,5;28629
122;Palmares;3,39;5521
123;Palmeiras;1,18;7652
362;Pantanal;0,54;919
125;Paquetá;2,73;6372
126;Paraíso;1,65;13387
222;Parque São José;1,06;3183
363;Parque São Pedro;1,09;2302
209;Paulo VI;0,73;6202
127;Pedreira Prado Lopes;0,66;4453
364;Penha;1,2;2226
243;Petrópolis;0,89;2143
246;Pilar;0,86;2930
128;Pindorama;0,92;17572
129;Pirajá;1,17;3231
166;Piratininga;0,86;21129
130;Planalto;1,9;16581
131;Pompéia;1,52;5570
198;Pongelupe;1,26;2680
250;Pousada Santo Antônio;0,99;1629
132;Prado;3,59;13746
133;Primeiro de Maio;0,78;2421
134;Providência;0,86;7959
135;Renascença;2,14;8867
136;Ribeiro de Abreu;0,83;16020
193;Rio Branco;1,17;12767
137;Sagrada Família;2,66;34386
138;Salgado Filho;1,95;14603
139;Santa Amélia;2,49;18183
202;Santa Branca;2,19;5355
140;Santa Cruz;1,53;22292
141;Santa Efigênia;3,12;17522
142;Santa Helena;1,24;5356
143;Santa Inês;2,38;9166
369;Santa Isabel;1,07;139
144;Santa Lúcia;5,82;7216
224;Santa Margarida;1;2306
116;Nova Suíssa;2,65;15172
146;Santa Maria;1,29;7069
148;Santa Mônica;1,42;23816
241;Santa Rita;0,63;2790
370;Santa Rita de Cássia;0,77;6080
149;Santa Rosa;2,46;6721
371;Santa Sofia;0,65;2782
119;Olhos d'Água;0,84;1459
150;Santa Tereza;3,03;15039
151;Santa Terezinha;1,2;15770
372;Santana do Cafezal;0,62;4075
152;Santo Agostinho;6,37;9871
153;Santo André;1,4;7365
154;Santo Antônio;5,41;21611
373;São Benedito;0,52;1596
155;São Bento;7,67;3688
156;São Bernardo;0,93;9088
157;São Cristóvão;1,78;2974
374;São Damião;0,65;320
158;São Francisco;1,36;4325
365;São Francisco das Chagas;0,51;1346
159;São Gabriel;1,06;13724
160;São Geraldo;1,19;13927
375;São Gonçalo;0,9;2592
376;Morro das Pedras;0,57;1686
161;São João Batista;1,52;16479
511;São Jorge II;0,59;2710
506;São Jorge III;0,57;2845
35;São José;4,27;1522
164;São Lucas;3,69;2902
165;São Marcos;0,96;6924
167;São Paulo;1,27;3740
168;São Pedro;5,5;6315
169;São Salvador;1,1;5838
470;São Sebastião;0,54;356
170;São Tomáz;0,71;7411
380;Satélite;1,06;481
171;Saudade;1,32;4868
217;Savassi;7,08;11741
381;Senhor dos Passos;0,69;2849
172;Serra;5,24;20170
484;Serra do Curral;0,8;344
174;Serra Verde;0,88;13954
173;Serrano;1,67;9971
262;Silveira;4,04;5800
237;Santa Cecília;0,76;2916
176;Sion;6,15;19660
245;Solar do Barreiro;0,85;4385
177;Solimões;0,76;1519
383;Sport Club;0,7;1071
64;Sumaré;;0
211;Suzana;1,02;1986
178;Taquaril;0,66;3389
179;Teixeira Dias;1,23;6179
384;Tiradentes;0,57;1661
180;Tirol;1,28;11372
385;Três Marias;0,42;587
200;Trevo;1,62;4249
181;Tupi A;0,89;10656
259;Tupi B;0,88;13521
183;União;2,24;14679
184;Universitário;1,19;1995
387;Universo;0,51;2833
388;Urca;0,75;3852
205;Vale do Jatobá;0,9;8047
185;Venda Nova;1,1;2629
621;Ventosa;0,63;7055
186;Vera Cruz;1,37;3205
392;Vila Aeroporto;0,59;2092
396;Vila das Antenas;0,55;1600
397;Vila Antena Montanhês;0,63;448
399;Vila Bandeirantes;0,61;562
400;Vila Barragem Santa Lúcia;0,8;7989
402;Vila Calafate;0,56;529
406;Vila Coqueiral;0,58;1527
498;Vila da Luz;0,41;1460
408;Vila da Paz;0,83;534
412;Vila dos Anjos;0,48;808
260;Vila Ecológica;0,42;1704
419;Vila Inestan;0,51;701
395;Vila Jardim Alvorada;0,66;2776
423;Vila Jardim São José;0,67;1693
382;Vila Madre Gertrudes I;0,71;1930
350;Madre Gertrudes III;0,65;417
36;São Luiz;4,16;4623
424;Vila Maloca;0,53;661
427;Vila Maria;0,58;5304
352;Vila Nossa Senhora Aparecida;0,55;1603
437;Vila Nova Gameleira II;0,94;1399
439;Vila Nova Paraíso;0,53;704
440;Vila Novo São Lucas;0,58;3676
189;Vila Oeste;0,97;1338
499;Vila Ouro Minas;0,58;588
190;Vila Paris;5,3;3557
444;Vila Petrópolis;0,52;298
450;Vila Real II;0,34;683
451;Vila Rica;2,88;199
620;Vila Santa Mônica;0,57;2132
455;Vila Santo Antônio Barroquinha;0,83;667
459;Vila São Paulo;0,84;1898
461;Vila São Rafael;0,61;1185
464;Vila Sumaré;0,51;2987
467;Vila Tirol;0,65;208
468;Vila Trinta e Um de Março;0,7;1524
469;Vila União;0,73;760
233;Conjunto Túnel Ibirité;1,07;1894
471;Vila Vista Alegre;0,73;11402
192;Virgínia;0,64;859
194;Vista Alegre;0,9;5155
252;Vista do Sol;0,73;5116
472;Vitória;1,01;3412
261;Vitória da Conquista;0,49;1184
263;Vila Formosa;0,55;1443
63;Vila Cemig;0,54;5667
416;Vila Independencia I;0,6;3021
417;Vila Independencia II;0,69;980
418;Vila Independencia IV;0,57;367
231;Vila Pinho;0,52;8220
423;Vila São José;0,67;1693
65;Xodó Marize;0,8;1497
473;Vila Zilah Spósito;0,46;2635
